metric,field,period,population,category,numerator,denominator,is_partial,provenance
ai_ack_purpose,math,2023-01,all,code_computation,0,2583,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,all,formalized,0,2583,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,all,lit_review,0,2583,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,all,research_assistance,0,2583,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,all,substantial_research,0,2583,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,all,writing,1,2583,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,panel,code_computation,0,1533,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,panel,formalized,0,1533,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,panel,lit_review,0,1533,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,panel,research_assistance,0,1533,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,panel,substantial_research,0,1533,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-01,panel,writing,0,1533,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,all,code_computation,1,2651,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,all,formalized,0,2651,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,all,lit_review,0,2651,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,all,research_assistance,0,2651,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,all,substantial_research,0,2651,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,all,writing,2,2651,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,panel,code_computation,0,1660,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,panel,formalized,0,1660,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,panel,lit_review,0,1660,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,panel,research_assistance,0,1660,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,panel,substantial_research,0,1660,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-02,panel,writing,0,1660,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-03,all,code_computation,0,3328,False,fulltext:ai_tools.v3:tax5:sol+fable
ai_ack_purpose,math,2023-03,all,formalized,0,3328,False,fulltext:ai_tools.v3:tax5:sol+fable
